block_size,grid_scale_x,use_shared,use_unroll,register_limit,work_per_thread,stride_access,threads_per_block,gflops,msec_per_matmul,pass_fail,avg_power_watts,exec_time_sec,power_log_duration,exit_code,cuda_error_str,power_log_path
4,1.5,1,1,64,4,1,16,72.063417,0.014210,PASS,42.100,0.295,61,0,,power_logs_all_configs/power_b4_g1.5_s1_u1_r64_w4_str1.log
4,1.5,1,1,64,4,2,16,107.995006,0.009482,FAIL,42.032,0.292,61,1,,power_logs_all_configs/power_b4_g1.5_s1_u1_r64_w4_str2.log
4,1.5,1,1,128,1,1,16,20.161291,0.012698,PASS,42.005,0.297,61,0,,power_logs_all_configs/power_b4_g1.5_s1_u1_r128_w1_str1.log
4,1.5,1,1,128,1,2,16,35.263002,0.007260,FAIL,41.997,0.295,61,1,,power_logs_all_configs/power_b4_g1.5_s1_u1_r128_w1_str2.log
4,1.5,1,1,128,2,1,16,36.066365,0.014196,PASS,42.087,0.294,61,0,,power_logs_all_configs/power_b4_g1.5_s1_u1_r128_w2_str1.log
4,1.5,1,1,128,2,2,16,53.686467,0.009537,FAIL,42.015,0.292,61,1,,power_logs_all_configs/power_b4_g1.5_s1_u1_r128_w2_str2.log
4,1.5,1,1,128,4,1,16,72.098059,0.014203,PASS,41.999,0.298,61,0,,power_logs_all_configs/power_b4_g1.5_s1_u1_r128_w4_str1.log
4,1.5,1,1,128,4,2,16,108.061863,0.009476,FAIL,42.102,0.292,61,1,,power_logs_all_configs/power_b4_g1.5_s1_u1_r128_w4_str2.log
4,2.0,0,0,32,1,1,16,20.182993,0.012684,PASS,42.115,0.298,61,0,,power_logs_all_configs/power_b4_g2.0_s0_u0_r32_w1_str1.log
4,2.0,0,0,32,1,2,16,28.790787,0.008892,FAIL,42.110,0.296,61,1,,power_logs_all_configs/power_b4_g2.0_s0_u0_r32_w1_str2.log
4,2.0,0,0,32,2,1,16,76.142130,0.006724,PASS,42.091,0.295,61,0,,power_logs_all_configs/power_b4_g2.0_s0_u0_r32_w2_str1.log
4,2.0,0,0,32,2,2,16,59.078380,0.008666,FAIL,42.105,0.290,61,1,,power_logs_all_configs/power_b4_g2.0_s0_u0_r32_w2_str2.log
4,2.0,0,0,32,4,1,16,132.987939,0.007700,PASS,42.160,0.296,61,0,,power_logs_all_configs/power_b4_g2.0_s0_u0_r32_w4_str1.log
4,2.0,0,0,32,4,2,16,115.785416,0.008844,FAIL,42.103,0.288,61,1,,power_logs_all_configs/power_b4_g2.0_s0_u0_r32_w4_str2.log
4,2.0,0,0,64,1,1,16,20.413717,0.012541,PASS,42.057,0.305,61,0,,power_logs_all_configs/power_b4_g2.0_s0_u0_r64_w1_str1.log
4,2.0,0,0,64,1,2,16,28.812908,0.008885,FAIL,42.090,0.299,61,1,,power_logs_all_configs/power_b4_g2.0_s0_u0_r64_w1_str2.log
4,2.0,0,0,64,2,1,16,73.891622,0.006929,PASS,42.052,0.346,61,0,,power_logs_all_configs/power_b4_g2.0_s0_u0_r64_w2_str1.log
4,2.0,0,0,64,2,2,16,58.117009,0.008810,FAIL,41.986,0.292,61,1,,power_logs_all_configs/power_b4_g2.0_s0_u0_r64_w2_str2.log
4,2.0,0,0,64,4,1,16,138.248850,0.007407,PASS,41.965,0.288,61,0,,power_logs_all_configs/power_b4_g2.0_s0_u0_r64_w4_str1.log
4,2.0,0,0,64,4,2,16,115.295924,0.008881,FAIL,42.010,0.299,61,1,,power_logs_all_configs/power_b4_g2.0_s0_u0_r64_w4_str2.log
4,2.0,0,0,128,1,1,16,20.413717,0.012541,PASS,41.940,0.291,61,0,,power_logs_all_configs/power_b4_g2.0_s0_u0_r128_w1_str1.log
4,2.0,0,0,128,1,2,16,28.802881,0.008888,FAIL,41.956,0.291,61,1,,power_logs_all_configs/power_b4_g2.0_s0_u0_r128_w1_str2.log
4,2.0,0,0,128,2,1,16,73.862063,0.006932,PASS,42.010,0.298,61,0,,power_logs_all_configs/power_b4_g2.0_s0_u0_r128_w2_str1.log
4,2.0,0,0,128,2,2,16,58.162078,0.008803,FAIL,42.067,0.299,61,1,,power_logs_all_configs/power_b4_g2.0_s0_u0_r128_w2_str2.log
4,2.0,0,0,128,4,1,16,135.562581,0.007554,PASS,42.055,0.341,61,0,,power_logs_all_configs/power_b4_g2.0_s0_u0_r128_w4_str1.log
